"","year","inst","Non-STEM","STEM","Health"
"1",1975,"Total",52.4166558036277,14.8776611390471,3.50806141044703
"2",1990,"Total",44.725469406744,13.7437348864271,3.1156534085332
"3",2005,"Total",28.8342736690991,12.6161410396961,3.08332927688563
"4",2019,"Total",23.2047215857324,11.6300965302804,5.26369821932898
"5",1975,"National & Public",41.3897831946647,22.1278542054812,3.81623591105819
"6",1990,"National & Public",31.8685763392398,19.0373493068761,3.00464761674169
"7",2005,"National & Public",16.7245143812731,18.5814929677593,5.74713746815351
"8",2019,"National & Public",13.5387982695911,17.2651976993702,8.01765496228981
"9",1975,"Private",55.0972768336887,13.1806738733394,3.55428249955491
"10",1990,"Private",48.8058602778135,12.1578354322939,3.22668171849622
"11",2005,"Private",32.5750628738522,10.8687177633789,2.31584162355903
"12",2019,"Private",26.4616988142686,9.62948284179428,4.40811699413687
